사업유형,사업번호,사업년도,사업명,홈페이지모집시작일자,홈페이지모집종료일자,홈페이지공고시작일,홈페이지공고종료일,홈페이지담당자명,홈페이지모집인원수,삭제여부
공익활동형,2021-07710,2021,스쿨존교통지원,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,김지연,150,N
공익활동형,2021-07712,2021,학교급식도우미,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,김지연,40,N
공익활동형,2021-08020,2021,버스승강장가꿈이,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,김나영,80,N
공익활동형,2021-07630,2021,노노케어2.,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,최명자,64,Y
시장형,2021-07820,2021,매일쓱싹사업단,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-07 00:00:00,2020-12-18 00:00:00,유향옥,30,N
사회서비스형,2021-48948,2021,시설지원서비스(푸른나래),2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,강미정,30,Y
사회서비스형,2021-11250,2021,도담도담,2021-01-04 00:00:00,2021-01-15 00:00:00,2021-01-04 00:00:00,2021-01-15 00:00:00,김나영,40,N
시장형,2021-08077,2021,세종의책방 집현,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,신자영,6,N
시장형,2021-08075,2021,맛있는 부엌,2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,우미경,12,N
공익활동형,2021-08016,2021,노노케어1(사랑나눔),2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,오남현,40,N
시장형,2021-08056,2021,콩카페 1호점(새롬점),2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,홍은주,8,N
공익활동형,2021-48446,2021,공공시설봉사(희망드림),2021-08-16 00:00:00,2021-08-20 00:00:00,2021-08-16 00:00:00,2021-08-20 00:00:00,조경주,46,N
시장형,2021-08060,2021,콩카페 2호점(보람점),2020-12-07 00:00:00,2020-12-18 00:00:00,2020-12-01 00:00:00,2020-12-18 00:00:00,홍은주,10,N
